Title,Author,Location,Highlight
"The Psychology of Money: Timeless Lessons on Wealth, Greed, and Happiness",Morgan Housel,41,"The premise of this book is that doing well with money has a little to do with how smart you are and a lot to do with how you behave. And behavior is hard to teach, even to really smart people."
"The Psychology of Money: Timeless Lessons on Wealth, Greed, and Happiness",Morgan Housel,98,"Money is everywhere, it affects all of us, and confuses most of us. Everyone thinks about it a little differently. It offers lessons on things that apply to many areas of life, like risk, confidence, and happiness. Few topics offer a more powerful magnifying glass that helps explain why people behave the way they do than money. It is one of the greatest shows on Earth."
"The Psychology of Money: Timeless Lessons on Wealth, Greed, and Happiness",Morgan Housel,103,"after the financial crisis was that no one could accurately explain what happened, or why it happened, let alone what should be done about it. For every good explanation there was an equally convincing rebuttal."
"The Psychology of Money: Timeless Lessons on Wealth, Greed, and Happiness",Morgan Housel,105,"Engineers can determine the cause of a bridge collapse because there’s agreement that if a certain amount of force is applied to a certain area, that area will break. Physics isn’t controversial. It’s guided by laws. Finance is different. It’s guided by people’s behaviors. And how I behave might make sense to me but look crazy to you."
"The Psychology of Money: Timeless Lessons on Wealth, Greed, and Happiness",Morgan Housel,109,"To grasp why people bury themselves in debt you don’t need to study interest rates; you need to study the history of greed, insecurity, and optimism. To get why investors sell out at the bottom of a bear market you don’t need to study the math of expected future returns; you need to think about the agony of looking at your family and wondering if your investments are imperiling their future."
"The Psychology of Money: Timeless Lessons on Wealth, Greed, and Happiness",Morgan Housel,122,"People from different generations, raised by different parents who earned different incomes and held different values, in different parts of the world, born into different economies, experiencing different job markets with different incentives and different degrees of luck, learn very different lessons."
"The Psychology of Money: Timeless Lessons on Wealth, Greed, and Happiness",Morgan Housel,134,"Your personal experiences with money make up maybe 0.00000001% of what’s happened in the world, but maybe 80% of how you think the world works."
"The Psychology of Money: Timeless Lessons on Wealth, Greed, and Happiness",Morgan Housel,239,It should surprise no one that many of us are bad at saving and investing for retirement. We’re not crazy. We’re all just newbies.
"The Psychology of Money: Timeless Lessons on Wealth, Greed, and Happiness",Morgan Housel,252,Luck and risk are siblings. They are both the reality that every outcome in life is guided by forces other than individual effort.
"The Psychology of Money: Timeless Lessons on Wealth, Greed, and Happiness",Morgan Housel,293,Luck and risk are both the reality that every outcome in life is guided by forces other than individual effort. They are so similar that you can’t believe in one without equally respecting the other. They both happen because the world is too complex to allow 100% of your actions to dictate 100% of your outcomes. They are driven by the same thing: You are one person in a game with seven billion other people and infinite moving parts. The accidental impact of actions outside of your control can be more consequential than the ones you consciously take.
"The Psychology of Money: Timeless Lessons on Wealth, Greed, and Happiness",Morgan Housel,365,Be careful who you praise and admire. Be careful who you look down upon and wish to avoid becoming.
"The Psychology of Money: Timeless Lessons on Wealth, Greed, and Happiness",Morgan Housel,371,"Therefore, focus less on specific individuals and case studies and more on broad patterns."
"The Psychology of Money: Timeless Lessons on Wealth, Greed, and Happiness",Morgan Housel,397,"For a critical element of our society, including many of the wealthiest and most powerful among us, there seems to be no limit today on what enough entails."
"The Psychology of Money: Timeless Lessons on Wealth, Greed, and Happiness",Morgan Housel,440,"To make money they didn’t have and didn’t need, they risked what they did have and did need. And that’s foolish. It is just plain foolish. If you risk something that is important to you for something that is unimportant to you, it just does not make any sense."
"The Psychology of Money: Timeless Lessons on Wealth, Greed, and Happiness",Morgan Housel,446,1. The hardest financial skill is getting the goalpost to stop moving.
"The Psychology of Money: Timeless Lessons on Wealth, Greed, and Happiness",Morgan Housel,447,"If expectations rise with results there is no logic in striving for more because you’ll feel the same after putting in extra effort. It gets dangerous when the taste of having more—more money, more power, more prestige—increases ambition faster than satisfaction."
"The Psychology of Money: Timeless Lessons on Wealth, Greed, and Happiness",Morgan Housel,452,"Happiness, as it’s said, is just results minus expectations."
"The Psychology of Money: Timeless Lessons on Wealth, Greed, and Happiness",Morgan Housel,453,2. Social comparison is the problem here.
"The Psychology of Money: Timeless Lessons on Wealth, Greed, and Happiness",Morgan Housel,460,"The point is that the ceiling of social comparison is so high that virtually no one will ever hit it. Which means it’s a battle that can never be won, or that the only way to win is to not fight to begin with—to accept that you might have enough, even if it’s less than those around you."
"The Psychology of Money: Timeless Lessons on Wealth, Greed, and Happiness",Morgan Housel,465,3. “Enough” is not too little.
"The Psychology of Money: Timeless Lessons on Wealth, Greed, and Happiness",Morgan Housel,467,“Enough” is realizing that the opposite—an insatiable appetite for more—will push you to the point of regret.
"The Psychology of Money: Timeless Lessons on Wealth, Greed, and Happiness",Morgan Housel,473,"4. There are many things never worth risking, no matter the potential gain."
"The Psychology of Money: Timeless Lessons on Wealth, Greed, and Happiness",Morgan Housel,475,"Don’t get too attached to anything—your reputation, your accomplishments or any of it."
"The Psychology of Money: Timeless Lessons on Wealth, Greed, and Happiness",Morgan Housel,478,Reputation is invaluable.
"The Psychology of Money: Timeless Lessons on Wealth, Greed, and Happiness",Morgan Housel,479,Freedom and independence are invaluable.
"The Psychology of Money: Timeless Lessons on Wealth, Greed, and Happiness",Morgan Housel,479,Family and friends are invaluable.
"The Psychology of Money: Timeless Lessons on Wealth, Greed, and Happiness",Morgan Housel,480,Being loved by those who you want to love you is invaluable.
"The Psychology of Money: Timeless Lessons on Wealth, Greed, and Happiness",Morgan Housel,480,Happiness is invaluable.
"The Psychology of Money: Timeless Lessons on Wealth, Greed, and Happiness",Morgan Housel,514,"If something compounds—if a little growth serves as the fuel for future growth—a small starting base can lead to results so extraordinary they seem to defy logic. It can be so logic-defying that you underestimate what’s possible, where growth comes from, and what it can lead to."
"The Psychology of Money: Timeless Lessons on Wealth, Greed, and Happiness",Morgan Housel,557,"The danger here is that when compounding isn’t intuitive we often ignore its potential and focus on solving problems through other means. Not because we’re overthinking, but because we rarely stop to consider compounding potential."
"The Psychology of Money: Timeless Lessons on Wealth, Greed, and Happiness",Morgan Housel,604,Getting money is one thing. Keeping it is another.
"The Psychology of Money: Timeless Lessons on Wealth, Greed, and Happiness",Morgan Housel,609,"Getting money requires taking risks, being optimistic, and putting yourself out there. But keeping money requires the opposite of taking risk. It requires humility, and fear that what you’ve made can be taken away from you just as fast. It requires frugality and an acceptance that at least some of what you’ve made is attributable to luck, so past success can’t be relied upon to repeat indefinitely."
